iter	Passed	Remaining
475	651	717
476	652	715
477	653	713
478	654	711
479	655	709
480	656	708
481	657	706
482	658	704
483	659	703
484	660	701
485	661	699
486	662	697
487	663	695
488	663	693
489	664	691
490	665	690
491	666	688
492	667	686
493	668	684
494	669	682
495	670	681
496	671	679
497	672	678
498	673	676
499	674	674
500	675	672
501	676	670
502	677	669
503	677	667
504	678	665
505	679	663
506	680	662
507	681	660
508	682	658
509	683	656
510	684	655
511	686	653
512	687	652
513	688	651
514	689	649
515	690	647
516	691	646
517	692	644
518	693	643
519	694	641
520	695	639
521	696	637
522	697	636
523	698	634
524	699	632
525	700	631
526	701	629
527	702	628
528	703	626
529	704	624
530	705	623
531	706	621
532	707	619
533	708	617
534	708	616
535	709	614
536	710	612
537	711	611
538	712	609
539	713	607
540	714	606
541	715	604
542	716	603
543	717	601
544	718	600
545	720	598
546	721	597
547	722	596
548	723	594
549	724	593
550	726	591
551	726	590
552	727	588
553	728	586
554	729	585
555	731	583
556	732	582
557	733	580
558	734	579
559	734	577
560	735	575
561	736	574
562	737	572
563	738	570
564	739	569
565	740	567
566	741	566
567	742	564
568	743	563
569	744	561
570	745	560
571	746	558
572	747	557
573	748	555
574	749	554
575	750	552
576	751	550
577	752	549
578	753	547
579	754	546
580	755	544
581	756	543
582	757	541
583	758	540
584	759	538
585	760	537
586	761	535
587	762	533
588	762	532
589	763	530
590	764	529
591	765	527
592	766	526
593	767	524
594	768	523
595	769	521
596	770	519
597	771	518
598	772	517
599	773	515
600	774	514
601	775	512
602	776	511
603	777	510
604	778	508
605	779	506
606	780	505
607	781	503
608	782	502
609	783	500
610	783	499
611	784	497
612	785	496
613	786	494
614	787	493
615	788	491
616	790	490
617	791	488
618	792	487
619	793	486
620	794	484
621	795	483
622	795	481
623	796	480
624	797	478
625	798	477
626	799	475
627	800	474
628	801	472
629	802	471
630	803	469
631	804	468
632	805	467
633	806	465
634	807	464
635	808	462
636	809	461
637	810	459
638	811	458
639	812	456
640	813	455
641	813	453
642	814	452
643	815	450
644	816	449
645	817	448
646	818	446
647	819	445
648	820	443
649	821	442
650	822	441
651	823	439
652	824	438
653	825	436
654	826	435
655	827	434
656	828	432
657	829	431
658	830	429
659	831	428
660	832	426
661	833	425
662	834	424
663	835	423
664	837	421
665	837	420
666	838	418
667	839	417
668	841	416
669	842	414
670	843	413
671	844	412
672	845	410
673	846	409
674	847	408
675	849	406
676	850	405
677	851	404
678	853	403
679	854	401
680	855	400
681	856	399
682	857	397
683	858	396
684	859	395
685	860	393
686	862	392
687	864	391
688	865	390
689	866	389
690	868	388
691	869	387
692	870	385
693	872	384
694	873	383
695	874	382
696	875	380
697	877	379
698	879	378
699	880	377
700	881	376
701	883	374
702	884	373
703	885	372
704	887	371
705	888	370
706	889	368
707	891	367
708	893	366
709	894	365
710	895	364
711	897	362
712	898	361
713	899	360
714	900	359
715	901	357
716	902	356
717	904	355
718	905	353
719	906	352
720	907	351
721	908	349
722	909	348
723	910	347
724	911	345
725	912	344
726	914	343
727	915	341
728	916	340
729	917	339
730	918	337
731	919	336
732	920	335
733	921	334
734	923	332
735	924	331
736	925	330
737	926	328
738	926	327
739	927	325
740	928	324
741	929	323
742	930	321
743	931	320
744	932	319
745	933	317
746	934	316
747	935	315
748	936	313
749	937	312
750	938	311
751	939	309
752	940	308
753	941	307
754	942	305
755	943	304
756	944	303
757	945	301
758	946	300
759	947	299
760	948	297
761	949	296
762	950	295
763	952	294
764	953	292
765	954	291
766	955	290
767	956	288
768	956	287
769	958	286
770	958	284
771	959	283
772	960	282
773	961	280
774	962	279
775	963	278
776	964	276
777	966	275
778	967	274
779	968	273
780	970	272
781	971	270
782	973	269
783	974	268
784	975	267
785	976	265
786	978	264
787	979	263
788	981	262
789	982	261
790	983	259
791	985	258
792	986	257
793	987	256
794	988	254
795	989	253
796	991	252
797	992	251
798	993	249
799	994	248
800	996	247
801	997	246
802	998	245
803	999	243
804	1001	242
805	1002	241
806	1003	239
807	1004	238
808	1005	237
809	1006	236
810	1009	235
811	1011	234
812	1013	233
813	1015	232
814	1016	230
815	1018	229
816	1019	228
817	1020	226
818	1021	225
819	1022	224
820	1023	223
821	1024	221
822	1025	220
823	1027	219
824	1028	218
825	1028	216
826	1029	215
827	1031	214
828	1032	212
829	1033	211
830	1034	210
831	1035	209
832	1036	207
833	1037	206
834	1038	205
835	1039	204
836	1041	202
837	1042	201
838	1043	200
839	1044	199
840	1046	197
841	1047	196
842	1048	195
843	1049	194
844	1050	192
845	1051	191
846	1053	190
847	1054	189
848	1055	187
849	1057	186
850	1058	185
851	1059	184
852	1060	182
853	1061	181
854	1062	180
855	1063	178
856	1064	177
857	1065	176
858	1066	175
859	1067	173
860	1069	172
861	1070	171
862	1071	170
863	1072	168
864	1073	167
865	1074	166
866	1075	164
867	1076	163
868	1077	162
869	1078	161
870	1079	159
871	1080	158
872	1081	157
873	1083	156
874	1084	154
875	1085	153
876	1086	152
877	1087	151
878	1088	149
879	1089	148
880	1090	147
881	1091	145
882	1092	144
883	1093	143
884	1094	142
885	1095	140
886	1096	139
887	1097	138
888	1098	137
889	1099	135
890	1100	134
891	1101	133
892	1102	132
893	1103	130
894	1105	129
895	1105	128
896	1107	127
